iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,NCL,0,0,0,0,0,0,0,0,13964.53,13964.53,13994.37,13993.97
ABW,NER,0,0,0,0,0,0,0,0,7796.389,7796.389,8090.482,8078.543
ABW,NFK,0,0,1,0,0,0,0,0,13783.12,13783.12,13783.78,13783.78
ABW,NGA,0,0,1,0,0,0,0,0,8081.917,8425.322,8276.091,8269.742
ABW,NIC,0,1,0,0,0,0,0,0,1761.929,1761.929,1764.175,1761.101
ABW,NIU,0,0,1,0,0,0,0,0,11484.71,11484.71,11492.94,11492.94
ABW,NLD,0,1,1,1,0,1,1,0,7896.896,7896.896,7908.407,7908.11
ABW,NOR,0,0,0,0,0,0,0,0,8301.125,8301.125,8240.808,8238.265
ABW,NPL,0,0,0,0,0,0,0,0,14828.1,14828.1,14806.05,14804.43
ABW,NRU,0,0,1,0,0,0,0,0,13604.61,13604.61,13620.23,13620.22
ABW,NZL,0,0,1,0,0,0,0,0,12981.52,12981.52,13079.87,13079.11
ABW,OMN,0,0,0,0,0,0,0,0,13155.52,13155.52,13071.64,13071.03
ABW,PAK,0,0,1,0,0,0,0,0,13581.61,13581.61,13748.66,13747.85
ABW,PAL,0,0,0,0,0,0,0,0,10625.24,10625.24,10642.14,10642.06
ABW,PAN,0,1,0,0,0,0,0,0,1102.975,1102.975,1182.386,1171.276
ABW,PCN,0,0,1,0,0,0,0,0,7735.013,7735.013,.,.
ABW,PER,0,1,0,0,0,0,0,0,2848.861,2848.861,2758.858,2724.569
ABW,PHL,0,0,1,0,0,0,0,0,16773.43,16773.43,16868.52,16866.91
ABW,PLW,0,0,1,0,0,0,0,0,16527.85,16527.85,16541.41,16541.35
ABW,PNG,0,0,1,0,0,0,0,0,15957.22,15957.22,15932.05,15927.29
ABW,POL,0,0,0,0,0,0,0,0,8990.023,8990.023,8884.097,8882.148
ABW,PRI,0,1,1,0,0,0,0,0,781.5696,781.5696,764.2043,763.2674
ABW,PRK,0,0,0,0,0,0,0,0,14063.87,14063.87,13996.79,13995.25
ABW,PRT,0,0,0,0,0,0,0,0,6637.424,6637.424,6626.685,6621.537
ABW,PRY,0,1,0,0,0,0,0,0,4418.076,4418.076,4436.56,4435.109
ABW,PYF,0,0,0,0,0,0,0,0,9348.107,9348.107,9363.776,9363.463
ABW,QAT,0,0,0,0,0,0,0,0,12436.23,12436.23,12418.49,12418.47
ABW,REU,0,0,0,0,0,0,0,0,14183.83,14183.83,14168.52,14168.5
ABW,ROM,0,0,0,0,0,0,0,0,9528.119,9528.119,9448.061,9445.321
ABW,RUS,0,0,0,0,0,0,0,0,9942.475,9942.475,10523.27,10451.28
ABW,RWA,0,0,1,0,0,0,0,0,11168.01,11168.01,11138.65,11138.53
ABW,SAU,0,0,0,0,0,0,0,0,12028.87,12028.87,11731.11,11720.17
ABW,SDN,0,0,0,0,0,0,0,0,10960.46,10960.46,10934.82,10927.77
ABW,SEN,0,0,0,0,0,0,0,0,5688.13,5688.13,5733.223,5731.908
ABW,SGP,0,0,1,0,0,0,0,0,18355.38,18355.38,18355.23,18355.23
ABW,SHN,0,0,1,0,0,0,0,0,7763.898,7763.898,7507.777,7463.466
ABW,SLB,0,0,0,0,0,0,0,0,14562.64,14562.64,14593.49,14592.63
ABW,SLE,0,0,1,0,0,0,0,0,6222.756,6222.756,6281.981,6280.437
ABW,SLV,0,1,0,0,0,0,0,0,2070.009,2070.009,2081.715,2080.956
ABW,SMR,0,0,0,0,0,0,0,0,8461.912,8461.912,8454.992,8454.992
ABW,SOM,0,0,0,0,0,0,0,0,12721.27,12721.27,12607.73,12606.07
ABW,SPM,0,0,0,0,0,0,0,0,4015.755,4015.755,4035.539,4035.514
ABW,STP,0,0,0,0,0,0,0,0,8580.347,8580.347,8558.069,8558.038
ABW,SUR,0,1,1,0,1,0,0,0,1793.713,1793.713,1873.901,1787.663
ABW,SVK,0,0,0,0,0,0,0,0,8778.741,8778.741,8902.049,8900.629
ABW,SVN,0,0,0,0,0,0,0,0,8601.009,8601.009,8617.865,8617.65
ABW,SWE,0,0,0,0,0,0,0,0,8715.387,8715.387,8587.528,8585.174
ABW,SWZ,0,0,0,0,0,0,0,0,11739.21,11739.21,11750.85,11750.78
ABW,SYC,0,0,1,0,0,0,0,0,13989.59,13989.59,13976.95,13976.95
ABW,SYR,0,0,0,0,0,0,0,0,10720.53,10720.53,10724.01,10723.18
ABW,TCA,0,0,1,0,0,0,0,0,998.4774,998.4774,1011.227,1011.168
ABW,TCD,0,0,0,0,0,0,0,0,9201.158,9201.158,9341.913,9338.212
